doID,ArtID,tcID,dvID
1,21,325,0
2,21,326,0
3,21,327,0
4,21,328,0
5,21,328,2
6,21,328,3
7,21,329,2
8,21,330,2
9,21,331,3
10,21,333,7
11,21,333,4
12,21,333,3
13,21,336,4
14,21,336,5
15,21,337,5
16,21,338,5
17,21,342,3
18,21,344,4
19,21,345,4
20,21,346,6
21,21,346,5
22,21,346,7
23,21,347,5
24,22,352,0
25,23,356,0
26,24,361,0
27,25,364,0
28,29,417,4
29,29,420,3
30,29,421,4
31,29,423,3
32,29,426,4
33,29,429,5
34,30,442,3
35,30,444,3
36,30,445,3
37,30,446,4
38,30,447,4
39,30,449,4
40,30,450,5
41,30,451,3
42,30,452,3
43,30,454,3
44,30,460,4
45,57,1055,0
46,57,1056,1
47,57,1056,4
48,57,1057,0
49,57,1058,3
50,57,1058,1
51,57,1059,1
52,57,1059,3
53,57,1060,3
54,57,1062,3
55,57,1062,5
56,57,1062,6
57,57,1063,5
58,57,1066,7
59,57,1068,6
60,57,1069,6
61,57,1070,7
62,57,1071,7
63,57,1072,7
292,58,2136,4
291,58,2132,6
290,58,2131,1
289,58,2114,2
288,58,2111,3
287,58,2111,2
286,58,2111,1
71,67,1172,4
72,67,1174,6
73,67,1175,4
74,67,1176,4
75,67,1176,6
76,67,1177,4
77,67,1178,4
78,67,1179,4
79,67,1187,4
80,67,1188,6
81,67,1189,10
82,67,1192,7
83,67,1201,4
84,67,1202,4
85,67,1203,4
86,85,1672,4
87,85,1672,5
88,85,1672,6
89,85,1673,3
90,85,1673,4
91,85,1674,6
92,85,1678,6
93,85,1681,6
94,85,1681,7
95,85,1682,6
96,85,1683,5
97,85,1685,6
98,85,1686,6
99,85,1689,7
100,85,1690,7
101,85,1693,7
102,85,1701,7
103,86,1715,7
237,87,1981,7
236,87,1981,10
235,87,1980,1
234,87,1980,0
233,87,1979,2
232,87,1977,10
231,87,1977,2
230,87,1966,2
229,87,1964,0
228,87,1962,10
227,87,1960,10
226,87,1959,2
225,87,1959,3
224,87,1957,3
223,87,1956,0
222,87,1956,3
221,87,1951,2
242,88,1991,1
241,88,1990,6
240,88,1990,4
239,88,1988,3
238,88,1987,3
256,90,2020,7
255,90,2020,5
254,90,2020,6
253,90,2019,6
252,90,2018,6
251,90,2016,5
250,90,2016,6
249,90,2013,5
248,90,2012,6
247,90,2011,5
246,90,2010,4
245,90,2008,3
244,90,2008,10
243,90,2007,6
140,92,1795,3
141,92,1796,0
142,92,1796,2
143,92,1796,3
144,92,1798,3
145,92,1799,1
146,92,1801,4
147,92,1802,4
148,92,1805,4
149,92,1807,4
150,92,1807,5
151,92,1807,3
152,92,1808,3
153,92,1808,4
154,92,1810,6
155,92,1811,4
156,92,1811,3
157,92,1812,4
158,92,1812,10
159,92,1813,3
160,92,1813,4
161,92,1814,4
162,92,1815,10
163,92,1816,4
164,92,1816,6
165,92,1817,4
166,97,1836,10
167,97,1837,10
168,97,1838,3
169,97,1840,10
170,97,1841,3
171,97,1842,3
172,97,1846,3
173,97,1847,3
174,97,1848,0
175,97,1849,4
176,97,1849,0
177,97,1849,1
178,97,1850,3
179,97,1851,7
180,97,1851,4
181,97,1853,3
182,97,1853,5
183,97,1854,6
184,97,1855,5
185,97,1857,7
186,97,1857,6
187,97,1858,7
188,98,1861,0
189,98,1862,0
190,98,1864,5
191,98,1866,3
192,98,1869,5
193,98,1869,6
194,98,1870,4
195,98,1871,1
196,98,1872,4
197,98,1876,3
198,98,1876,1
199,98,1876,6
200,98,1876,5
201,98,1878,3
202,98,1878,6
203,98,1879,3
204,98,1879,5
205,98,1880,7
206,98,1881,4
207,98,1881,7
269,104,2040,5
268,104,2039,3
267,104,2039,2
266,104,2037,2
265,104,2037,4
264,104,2036,1
263,104,2033,4
262,104,2032,3
261,104,2032,1
260,104,2028,2
259,104,2025,3
258,104,2023,3
257,104,2022,4
307,105,2192,6
306,105,2186,5
305,105,2185,4
304,105,2170,7
303,105,2163,7
302,105,2162,4
301,105,2162,5
300,105,2159,7
299,105,2159,6
298,105,2159,4
297,105,2159,3
296,105,2153,3
295,105,2153,5
294,105,2152,4
293,105,2151,5
308,107,2210,3
309,108,2213,4
310,108,2214,4
311,108,2216,6
312,109,2223,0
313,109,2224,0
314,109,2231,2
315,109,2231,3
316,109,2232,2
317,109,2235,4
318,109,2239,4
319,109,2240,3
320,109,2240,4
366,111,2369,7
365,111,2368,6
364,111,2368,7
363,111,2366,5
362,111,2365,6
361,111,2364,5
360,111,2364,3
359,111,2362,4
358,111,2362,7
357,111,2361,3
356,111,2360,0
355,111,2360,4
354,111,2359,0
353,111,2358,3
352,111,2357,3
351,111,2353,3
350,111,2352,3
349,111,2351,10
348,111,2349,3
347,111,2348,10
346,111,2347,10
342,112,2277,0
343,112,2289,7
344,113,2312,0
345,113,2324,7
367,114,2373,3
368,114,2373,6
369,114,2374,4
370,114,2376,3
371,114,2376,4
372,114,2377,4
373,114,2378,5
374,114,2380,7
375,114,2382,6
