ImgID,Data_Logger,Name_Title,Creator,Publication_place,Publisher,Date_of_Publication,Decade,Country,Description,ProvID,Form_of_copy,Research_Trip,Material,Copyright_Owner,Copyright_Status,File_name,Picture_Format,Compression_type,Scan_Resolution,Colour_Space,BIT_Depth,cnts_abundance,cnts_agriculture,cnts_army,cnts_artisan_crafts,cnts_barbarism,cnts_border,cnts_civilization,cnts_classical_themes,cnts_climate,cnts_colonial_era,cnts_conquest,cnts_desert,cnts_empire,cnts_exhibitions,cnts_expeditions,cnts_fauna_and_flora,cnts_festivals,cnts_fossils,cnts_frontier,cnts_gendered_allegories,cnts_heroes,cnts_immigration,cnts_independence_era,cnts_industry,cnts_infrastructure,cnts_material_culture,cnts_mestizaje,cnts_navy,cnts_parks,cnts_popular_culture,cnts_prehistory,cnts_race,cnts_religion,cnts_rural,cnts_science,cnts_slavery,cnts_tropics,cnts_urban,cnts_warfare,cnts_work,dsc_anthropology,dsc_economy,dsc_education,dsc_fine_arts,dsc_folklore,dsc_geography,dsc_history,dsc_landscape,dsc_literature,dsc_medicine,dsc_natural_history,dsc_orientalism_exoticism,dsc_philology,dsc_progress,dsc_social_question,kycpt_body,kycpt_heritage,kycpt_monument,kycpt_nature,kycpt_relic,kycpt_space,kycpt_the_other,mad_architecture,mad_cartography,mad_exhibitions,mad_museums,mad_painting,mad_photography,mad_sculpture,mad_writing,cnts_indians,institution,cnts_arts,cnts_republic,dsc_other,kycpt_origin,mad_collecting,cnts_commodity,cnts_health_disease,cnts_leisure
3,PA Schell,Ricordi della Grande Esposizione,,,,,1900s,,"Brochure showing sections of Chilean contribution to an Italian Exhibition, no date but early twentieth century.",36.0,colour slide,PAS 11-99,black and white pamphlet,"Archivo de la Administración,","UK, Birkbeck",Ch1-29,jpg,progressive,3.0,RGB,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,academic,0,0,0,0,0,0,0,0
4,PA Schell,Ricordi della Grande Esposizione,,,,,1900s,,"Brochure showing sections of Chilean contribution to an Italian Exhibition, no date but early twentieth century.",36.0,colour slide,PAS 11-99,black and white pamphlet,"Archivo de la Administración,","UK, Birkbeck",Ch1-28,jpg,progressive,3.0,RGB,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,academic,0,0,0,0,0,0,0,0
5,PA Schell,Ricordi della Grande Esposizione,,,,,1900s,,"Brochure showing sections of Chilean contribution to an Italian Exhibition, no date but early twentieth century.",36.0,colour slide,PAS 11-99,black and white pamphlet,"Archivo de la Administración,","UK, Birkbeck",Ch1-27,jpg,progressive,3.0,RGB,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,academic,0,0,0,0,0,0,0,0
6,PA Schell,Ricordi della Grande Esposizione,,,,,1900s,,"Brochure showing sections of Chilean contribution to an Italian Exhibition, no date but early twentieth century.",36.0,colour slide,PAS 11-99,black and white pamphlet,"Archivo de la Administración,","UK, Birkbeck",Ch1-26,jpg,progressive,3.0,RGB,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,academic,0,0,0,0,0,0,0,0
7,PA Schell,La adoración de los Reyes Magos,anon.,Santiago de Chile,Editorial Universitaria,1973,unknown,,"Reproduction of block cutting in popular style, no date.",1.0,colour slide,PAS 11-99,print,Editorial Universitaria,unknown,Ch1-25,jpg,progressive,3.0,RGB,300.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,academic,0,0,0,0,0,0,0,0
8,PA Schell,El Remonio arrepentido pide su ingreso en el cielo,anon.,Santiago de Chile,Editorial Universitaria,1973,unknown,,"Reproduction of block cutting in popular style, no date.",1.0,colour slide,PAS 11-99,print,Editorial Universitaria,unknown,Ch1-24,jpg,progressive,3.0,RGB,300.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,academic,0,0,0,0,0,0,0,0
9,PA Schell,Los funerales de su Santidad,anon.,Santiago de Chile,Editorial Universitaria,1973,unknown,,"Reproduction of block cutting in popular style, no date.",1.0,colour slide,PAS 11-99,print,Editorial Universitaria,unknown,Ch1-23,jpg,progressive,3.0,RGB,300.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,academic,0,0,0,0,0,0,0,0
10,PA Schell,La Horrible Serpiente encontrada en los bosques de Quayaquil,anon.,Santiago de Chile,Editorial Universitaria,1973,unknown,,"Reproduction of block cutting in popular style, no date.",1.0,colour slide,PAS 11-99,print,Editorial Universitaria,unknown,Ch1-22,jpg,progressive,3.0,RGB,300.0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,academic,0,0,0,0,0,0,0,0
11,PA Schell,Las Carreras de Viña del Mar,anon.,Santiago de Chile,Editorial Universitaria,1973,unknown,,"Reproduction of block cutting in popular style, no date.",1.0,colour slide,PAS 11-99,print,Editorial Universitaria,unknown,Ch1-21,jpg,progressive,3.0,RGB,300.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,academic,0,0,0,0,0,0,0,-1
12,PA Schell,Guerra a los Perros,anon.,Santiago de Chile,Editorial Universitaria,1973,unknown,,"Reproduction of block cutting in popular style, no date.",1.0,colour slide,PAS 11-99,print,Editorial Universitaria,unknown,Ch1-20,jpg,progressive,3.0,RGB,300.0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,academic,0,0,0,0,0,0,0,-1
