taoID,ArtID,tcID,tavID
1,1,5,1
2,1,5,2
3,1,4,3
4,1,4,4
5,1,4,5
6,2,25,1
7,2,25,2
8,2,11,3
9,2,11,4
10,2,11,6
11,2,11,5
12,3,34,1
13,3,34,7
14,3,30,4
15,3,30,8
16,4,47,1
17,4,47,2
18,4,40,3
19,4,40,4
20,4,40,9
21,4,40,6
22,4,40,5
23,5,55,1
24,5,55,2
25,5,52,3
26,5,52,5
27,5,52,4
28,5,52,9
29,5,52,10
30,5,52,6
31,6,61,1
32,6,61,2
33,6,56,3
34,6,56,4
35,6,56,11
36,6,56,5
37,7,67,1
38,7,67,2
39,7,65,4
40,7,65,11
41,8,76,1
42,8,76,2
43,8,68,12
44,8,68,3
45,8,68,11
46,9,96,13
47,9,96,14
48,9,78,12
49,9,78,15
50,9,78,16
51,9,78,11
52,10,114,13
53,10,114,17
54,10,114,18
55,10,114,14
56,10,99,19
57,10,99,12
58,10,99,3
59,10,99,10
60,10,99,11
61,10,99,20
62,11,122,13
63,11,122,2
64,11,116,3
65,11,116,20
66,12,135,13
67,12,135,18
68,12,135,2
69,12,126,10
70,12,126,20
71,13,156,1
72,13,156,2
73,13,136,21
74,13,136,4
75,13,136,3
76,13,138,3
77,13,138,21
78,13,138,4
79,14,172,1
80,14,172,2
81,14,159,3
82,14,159,21
83,14,159,4
84,15,255,18
85,15,255,13
86,15,174,19
87,15,174,3
88,15,174,15
89,15,174,10
90,15,174,20
91,15,174,21
92,16,261,1
93,16,258,3
94,16,258,4
95,16,258,11
96,17,276,1
97,17,276,2
98,17,264,3
99,17,264,4
100,17,264,6
101,18,296,1
102,18,279,3
103,18,279,4
104,18,279,6
105,19,305,1
106,19,305,2
107,19,299,3
108,19,299,4
109,19,299,11
110,20,324,13
111,20,324,18
112,20,324,2
113,20,308,12
114,20,308,3
115,20,308,20
116,20,308,11
117,21,351,22
118,21,351,13
119,21,351,17
120,21,351,14
121,21,351,2
122,21,325,20
123,21,325,11
124,21,326,20
125,21,326,11
126,21,327,20
127,21,327,11
128,21,328,20
129,21,328,23
130,21,328,11
131,21,328,21
132,21,329,10
133,21,329,24
134,21,329,11
135,21,330,4
136,21,330,25
137,21,331,26
138,21,331,20
139,21,331,23
140,21,331,11
141,21,332,12
142,21,332,27
143,21,332,20
144,21,332,23
145,21,332,28
146,21,332,21
147,21,332,11
148,21,333,12
149,21,333,26
150,21,333,16
151,21,333,28
152,21,333,21
153,21,333,11
154,21,333,25
155,21,333,5
156,21,334,12
157,21,334,23
158,21,334,28
159,21,334,11
160,21,336,4
161,21,336,11
162,21,337,4
163,21,337,11
164,21,338,20
165,21,338,23
166,21,338,11
167,21,339,12
168,21,339,26
169,21,339,20
170,21,339,21
171,21,339,11
172,21,339,5
173,21,340,12
174,21,340,21
175,21,340,11
176,21,340,5
177,21,341,21
178,21,341,11
179,21,342,12
180,21,342,23
181,21,342,21
182,21,342,11
183,21,343,12
184,21,343,29
185,21,343,21
186,21,343,11
187,21,344,12
188,21,344,4
189,21,344,23
190,21,344,21
191,21,344,11
192,21,345,12
193,21,345,27
194,21,345,28
195,21,345,21
196,21,345,11
197,21,345,25
198,21,346,12
199,21,346,26
200,21,346,27
