tavID,typeID,stdName,type
1,6,heritage,keyConcept
2,6,relic,keyConcept
3,6,collecting,discourse
4,6,history,discourse
5,6,writing,discourse
6,6,philology,discourse
7,6,monument,keyConcept
8,6,sculpture,discourse
9,6,literature,discourse
10,6,geography,discourse
11,6,museums,discourse
12,6,anthropology,discourse
13,6,nature,keyConcept
14,6,the other,keyConcept
15,6,economics,discourse
16,6,fine arts,discourse
17,6,origin,keyConcept
18,6,space,keyConcept
19,6,architecture,discourse
20,6,natural history,discourse
21,6,exhibitions,discourse
22,6,body,keyConcept
23,6,progress,discourse
24,6,exoticism,discourse
25,6,painting/drawing,discourse
26,6,education,discourse
27,6,medicine,discourse
28,6,social question,discourse
29,6,folklore,discourse
30,1,Jõao VI,politician
31,1,Pedro I,politician
32,1,"Azevedo, Frei José da Costa",scientist
33,1,Imperatriz Leopoldina,other
34,1,"Martius, Karl Friedrich von",scientist
35,1,"Spix, Johann Baptist von",scientist
36,1,"Wied-Neuwied, Maximilian von",scientist
37,1,"Langsdorff, baron Grigori Ivanovitch",scientist
38,1,"Saint-Hilaire, Auguste de",scientist
39,1,"Andrada e Silva, José Bonifácio de",politician
40,1,Pabst von Ohain,scientist
41,1,"Bougainville, Louis-Antoine de",scientist
42,1,"Du Petit-Thouars, Aubert",scientist
43,1,"Ribeyrolles, Charles",scientist
44,1,Castelnau,scientist
45,1,"Agassiz, Jean Louis Rodolphe",scientist
46,1,Pedro II,politician
47,1,"Alves Serrão, Frei Custódio",scientist
48,1,"Netto, Ladislau",scientist
49,1,"Lacerda, João Baptista de",scientist
50,1,"Figueiredo e Melo, Pedro Américo de",artist
51,1,"Couty, Louis",scientist
52,1,"Bocaiuva, Quintino",politician
53,1,"Müller, Fritz",scientist
54,1,Hermann von Ihering,scientist
55,1,"Schwacke, Wilhelm",scientist
56,1,"Derby, Orville",scientist
57,1,"Goeldi, Emil August",scientist
58,1,"Peixoto, Floriano",politician
59,1,"Freitas, Domingos",scientist
60,1,"Ihering, Hermann von",scientist
61,1,João Baptista de Lacerda,scientist
62,1,Moreira de Azevedo,letrado
63,1,Ladislau Netto,scientist
64,1,"Gautier, Léon",letrado
65,1,"Villares, Decio",artist
66,1,"Figueiredo e Melo, Aurélio de",artist
67,1,"Pitt-Rivers, Augustus Henry Lane-Fox",scientist
68,1,Augustus Henry Lane-Fox Pitt-Rivers,scientist
69,1,"Borges, Jorge Luis",letrado
70,1,"Brown Goode, George",scientist
71,1,"Lacerda, João Baptista deLacerda, João Baptista de",scientist
72,3,"Museu Nacional, Rio de Janeiro",academic
73,3,"Casa dos Pássaros, Rio de Janeiro",academic
74,3,"Jardim Botanico, Belém",academic
75,3,"Seminário de Olinda, Brazil",academic
76,3,"Jardim Botanico, Rio de Janeiro",academic
77,3,"Mesa de Consciência e Ordem, Rio de Janeiro",govt
