tcID,ArtID,AName,Quote
1,1,N33,"Buenos Aires, febrero 5 de 1882."
2,1,N35,Sr. D. Angel J. Carranza.
3,1,N37,Apreciado Señor.
4,1,N40,"Hace mucho tiempo ofrecí a Ud. el bastón de palma que usó en Montevideo el célebre poeta argentino Don Esteban Echeverría hasta su muerte en aquella ciudad el 9 de enero de 1851.La finada Antonia Patricia de Baltas, y esta su servidora, fuimos las dos almas piadosas que lo cuidamos en medio de nuestras penurias del Sitio, y paradas delante de su lecho recibimos su postrer suspiro. Fuimos autorizadas por Don Vicente Fidel López, para dar toda su pobreza excepto sus papeles de importancia y unas ocho onzas masomenos según recuerdo como lo hicimos religiosamente, en un cajoncito, con todo cuidado y puesto en manos de dicho Señor López. Echeverría dejó de existir, víctima de un ataque de anastétisis pulmonar, (...) (nota agregada) Echeverría falleció a hora una del 17 de enero 1852, calle Colón. Lo asisitieron Doña Rosario Cabral de Superí y la Señora del Coronel Baltas (ya finada). Pillado, Castro López, (ilegible)"
5,1,,
6,2,N33,"Buenos Aires, Abril 26 de 1883."
7,2,N35,Sr. Secretario de la Delegacion Argentina en la República del Paraguay
8,2,N37,D. Adolfo P. Carranza.
9,2,N39,Estimado Señor y compatriota:
10,2,N42,"en contestacion a su atenta cartita de fecha 15, en la que me pide le suministre algunos datos sobre la vida militar del coronel D. José Félix Bogao, me es altamente satisfactorio referirle lo poco que se con respecto al valiente Gefe paraguayo. "
11,2,N44,"El coronel D. José Félix Bogao sentó plaza militar en clase de soldado ralo en el célebre Rejimiento de ""Granaderos á caballo"" que organizaba en 1812 el ilustre general D. José de San Martín en el antiguo cuartel del Retiro. De esta ciudad salió á principios de 1813 bajo las órdenes de nuestro gran capitán para encontrarse en el célebre combate de ""San Lorenzo"" - 3 de febrero del mismo año."
12,2,N49,"Cuando el Gral. San Martín organizaba su ejército en la provincia de Mendoza para emprender su campaña libertadora a Chile, época en la cual ingresó al ejército el que suscribe (marzo de 1816) el coronel Bogao era ya alferez de Granaderos."
13,2,N51,"Se halló en la gloriosa batalla de ""Chacabuco"" - 15 de febrero de 1817.'"
14,2,N53,"Hallóse también en los ataques y asaltos a las fortalezas de Talcahuano; también se encontró en la joctosa sorpresa de ""Cancha Rallada"" - 19 de marzo del mismo año, pero en cambio cúpole la gloria de ser uno de los héroes de la batalla mas grande que se haya dado en territorio chileno; de ""Maipú"" - 5 de abril de 1818.-"
15,2,N55,"De teniente de Granaderos marchó a la campaña que dió por resultado la emancipación del Perú del poder español, encontrándose en la toma de Lima, en el memorable sitio de Callao, y sus asaltos - 14 de agosto de 1820.-"
16,2,N57,"Formó parte de la expedicion á ""Puertos Intermedios"" bajo las órdenes del general D. Afrudecindo de Alvarado, encontrándose por consiguiente en las batallas de ""Porata"" y ""Moquegua"" - 19 y 21 de enero de 1823.-"
17,2,N59,"Uno de los timbres mas gloriosos que atenta en su carrera militar el coronel D. José Félix Bogao, es la ""Sorpresa de Pisco"". Voy a referirle a Ud. cómo fué:-"
18,2,N61,"El Gefe supremo del ejército de los Andes, Brigadier General D. Enrique Martínez (el General San Martín ya se habia retirado del Perú) dispuso que del Regimiento de Granaderos á caballo, se separase un esquadron al mando del Sargento Mayor Bogao, este Gefe picara la retaguardia de la division enemiga que habia tomado la costa del mar, al llegar á la plaza del pueblo de Pisco, el Mayor Bogao sorprendio al enemigo, tomandole prisioneros a dos tenientes-coroneles, tres capitanes, cinco oficiales subalternos, y noventa y tantos hombres de tropa. Me olvidaba decir que el resto del regimiento al mando de su Gefe el entonces coronel D. Juan Lavalle perseguia al resto del ejército enemigo que habia tomado en direccion a la sierra."
19,2,N63,"Habiendo terminado con tan feliz éxito su cometido el Mayor Bogao, regresamos a Lima (cúpome la suerte de pertenecer al esquadron que comandaba el espresado Mayor)."
